mode,scenario,run,throughput_mbs,status,duration_s,notes
pinned,cpu2cuda,1,1582.1,SUCCESS,3.2,
pinned,cpu2cuda,2,1590.9,SUCCESS,3.2,
pinned,cpu2cuda,3,1455.2,SUCCESS,3.2,
pinned,cpu2cuda,4,1535.5,SUCCESS,3.2,
pinned,cpu2cuda,5,1418.2,SUCCESS,3.2,
pinned,cpu2cuda,6,1617.6,SUCCESS,3.2,
pinned,cpu2cuda,7,1539.2,SUCCESS,3.3,
pinned,cpu2cuda,8,1443.7,SUCCESS,3.3,
pinned,cpu2cuda,9,1573.3,SUCCESS,3.3,
pinned,cpu2cuda,10,1680.8,SUCCESS,3.2,
pageable,cpu2cuda,1,3245.4,SUCCESS,3.3,
pageable,cpu2cuda,2,3193.8,SUCCESS,3.2,
pageable,cpu2cuda,3,3168.7,SUCCESS,3.4,
pageable,cpu2cuda,4,3005.5,SUCCESS,3.3,
pageable,cpu2cuda,5,3019.4,SUCCESS,3.3,
pageable,cpu2cuda,6,3010.5,SUCCESS,3.3,
pageable,cpu2cuda,7,3196.6,SUCCESS,3.2,
pageable,cpu2cuda,8,3232.6,SUCCESS,3.2,
pageable,cpu2cuda,9,3276.5,SUCCESS,3.2,
pageable,cpu2cuda,10,2656.8,SUCCESS,3.3,
noreuse,cpu2cpu,1,1252.4,SUCCESS,3.8,
noreuse,cpu2cpu,2,1135.0,SUCCESS,3.8,
noreuse,cpu2cpu,3,1252.6,SUCCESS,3.8,
noreuse,cpu2cpu,4,1276.4,SUCCESS,3.8,
noreuse,cpu2cpu,5,1291.0,SUCCESS,3.9,
noreuse,cpu2cpu,6,1224.7,SUCCESS,3.9,
noreuse,cpu2cpu,7,1165.6,SUCCESS,3.8,
noreuse,cpu2cpu,8,1260.3,SUCCESS,3.8,
noreuse,cpu2cpu,9,1281.6,SUCCESS,3.8,
noreuse,cpu2cpu,10,1105.1,SUCCESS,3.8,
noreuse,cpu2cuda,1,635.9,SUCCESS,3.1,
noreuse,cpu2cuda,2,686.8,SUCCESS,3.0,
noreuse,cpu2cuda,3,687.6,SUCCESS,3.0,
noreuse,cpu2cuda,4,688.9,SUCCESS,3.1,
noreuse,cpu2cuda,5,711.0,SUCCESS,3.1,
noreuse,cpu2cuda,6,707.5,SUCCESS,3.0,
noreuse,cpu2cuda,7,692.7,SUCCESS,3.0,
noreuse,cpu2cuda,8,703.5,SUCCESS,3.0,
noreuse,cpu2cuda,9,762.4,SUCCESS,3.0,
noreuse,cpu2cuda,10,734.7,SUCCESS,3.0,
noreuse,cuda2cpu,1,1159.4,SUCCESS,2.8,
noreuse,cuda2cpu,2,973.7,SUCCESS,2.9,
