mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,7167.7,SUCCESS,5.4,
full,cpu2cpu,2,7492.7,SUCCESS,5.4,
full,cpu2cpu,3,7845.5,SUCCESS,5.1,
full,cpu2cpu,4,7586.8,SUCCESS,5.4,
full,cpu2cpu,5,7436.0,SUCCESS,5.4,
full,cpu2cpu,6,7647.3,SUCCESS,5.5,
full,cpu2cpu,7,6570.8,SUCCESS,5.6,
full,cpu2cpu,8,7339.6,SUCCESS,5.2,
full,cpu2cpu,9,7047.3,SUCCESS,5.5,
full,cpu2cpu,10,7061.3,SUCCESS,5.4,
full,cpu2cuda,1,4179.8,SUCCESS,4.8,
full,cpu2cuda,2,4020.1,SUCCESS,4.7,
full,cpu2cuda,3,3845.3,SUCCESS,4.7,
full,cpu2cuda,4,4138.5,SUCCESS,4.8,
full,cpu2cuda,5,3747.9,SUCCESS,4.8,
full,cpu2cuda,6,4096.3,SUCCESS,4.8,
full,cpu2cuda,7,3743.4,SUCCESS,4.8,
full,cpu2cuda,8,4166.8,SUCCESS,4.8,
full,cpu2cuda,9,3569.0,SUCCESS,4.8,
full,cpu2cuda,10,3850.6,SUCCESS,4.8,
full,cuda2cpu,1,7231.7,SUCCESS,4.4,
full,cuda2cpu,2,7497.4,SUCCESS,4.2,
full,cuda2cpu,3,7523.0,SUCCESS,4.2,
full,cuda2cpu,4,7471.7,SUCCESS,4.3,
full,cuda2cpu,5,7534.9,SUCCESS,4.3,
full,cuda2cpu,6,7664.3,SUCCESS,4.2,
full,cuda2cpu,7,7617.7,SUCCESS,4.3,
full,cuda2cpu,8,7605.5,SUCCESS,4.3,
full,cuda2cpu,9,7717.1,SUCCESS,4.3,
full,cuda2cpu,10,7580.8,SUCCESS,4.3,
pageable,cpu2cpu,1,6735.5,SUCCESS,5.5,
pageable,cpu2cpu,2,7090.3,SUCCESS,5.2,
pageable,cpu2cpu,3,7134.5,SUCCESS,5.5,
pageable,cpu2cpu,4,7094.5,SUCCESS,5.5,
pageable,cpu2cpu,5,7429.0,SUCCESS,5.5,
pageable,cpu2cpu,6,7232.6,SUCCESS,5.3,
pageable,cpu2cpu,7,6927.4,SUCCESS,5.2,
pageable,cpu2cpu,8,7325.2,SUCCESS,5.4,
pageable,cpu2cpu,9,7280.8,SUCCESS,5.4,
pageable,cpu2cpu,10,7384.9,SUCCESS,5.4,
pageable,cpu2cuda,1,3835.3,SUCCESS,4.8,
pageable,cpu2cuda,2,4221.7,SUCCESS,4.7,
pageable,cpu2cuda,3,4103.7,SUCCESS,4.8,
pageable,cpu2cuda,4,4071.2,SUCCESS,4.8,
pageable,cpu2cuda,5,3992.3,SUCCESS,4.8,
pageable,cpu2cuda,6,4048.4,SUCCESS,4.5,
pageable,cpu2cuda,7,4046.4,SUCCESS,4.4,
pageable,cpu2cuda,8,4089.3,SUCCESS,4.8,
pageable,cpu2cuda,9,4075.6,SUCCESS,4.4,
pageable,cpu2cuda,10,4015.5,SUCCESS,4.7,
pageable,cuda2cpu,1,7551.5,SUCCESS,4.3,
pageable,cuda2cpu,2,7506.1,SUCCESS,4.4,
pageable,cuda2cpu,3,7599.9,SUCCESS,4.2,
pageable,cuda2cpu,4,7538.1,SUCCESS,4.3,
pageable,cuda2cpu,5,7692.5,SUCCESS,4.3,
pageable,cuda2cpu,6,7536.4,SUCCESS,4.2,
pageable,cuda2cpu,7,7590.7,SUCCESS,4.3,
pageable,cuda2cpu,8,7699.5,SUCCESS,4.2,
pageable,cuda2cpu,9,7588.5,SUCCESS,4.2,
pageable,cuda2cpu,10,7580.5,SUCCESS,4.2,
nofastpath,cpu2cpu,1,6524.2,SUCCESS,5.5,
nofastpath,cpu2cpu,2,6709.1,SUCCESS,5.5,
nofastpath,cpu2cpu,3,6019.4,SUCCESS,5.6,
nofastpath,cpu2cpu,4,6734.8,SUCCESS,5.4,
nofastpath,cpu2cpu,5,6425.3,SUCCESS,5.2,
nofastpath,cpu2cpu,6,6675.3,SUCCESS,5.4,
nofastpath,cpu2cpu,7,6883.8,SUCCESS,5.2,
nofastpath,cpu2cpu,8,6522.5,SUCCESS,5.7,
nofastpath,cpu2cpu,9,6705.5,SUCCESS,5.5,
nofastpath,cpu2cpu,10,6245.3,SUCCESS,5.6,
nofastpath,cpu2cuda,1,3649.5,SUCCESS,4.7,
nofastpath,cpu2cuda,2,3602.2,SUCCESS,4.8,
nofastpath,cpu2cuda,3,3819.8,SUCCESS,4.6,
nofastpath,cpu2cuda,4,3642.3,SUCCESS,4.8,
nofastpath,cpu2cuda,5,3727.8,SUCCESS,4.6,
nofastpath,cpu2cuda,6,3629.0,SUCCESS,4.9,
nofastpath,cpu2cuda,7,3989.8,SUCCESS,4.8,
nofastpath,cpu2cuda,8,3695.7,SUCCESS,4.6,
nofastpath,cpu2cuda,9,3999.7,SUCCESS,4.8,
nofastpath,cpu2cuda,10,3949.0,SUCCESS,4.7,
nofastpath,cuda2cpu,1,7305.5,SUCCESS,4.3,
nofastpath,cuda2cpu,2,7209.6,SUCCESS,4.3,
nofastpath,cuda2cpu,3,7435.3,SUCCESS,4.3,
nofastpath,cuda2cpu,4,7333.2,SUCCESS,4.3,
nofastpath,cuda2cpu,5,7255.7,SUCCESS,4.3,
nofastpath,cuda2cpu,6,7400.7,SUCCESS,4.2,
