mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,7299.6,SUCCESS,19.0,
full,cpu2cpu,2,6965.2,SUCCESS,19.2,
full,cpu2cpu,3,7319.8,SUCCESS,18.7,
full,cpu2cpu,4,7282.8,SUCCESS,18.8,
full,cpu2cpu,5,7185.2,SUCCESS,19.1,
full,cpu2cpu,6,7159.6,SUCCESS,19.1,
full,cpu2cpu,7,7268.4,SUCCESS,19.0,
full,cpu2cpu,8,7440.6,SUCCESS,18.8,
full,cpu2cpu,9,7072.4,SUCCESS,19.1,
full,cpu2cpu,10,7296.7,SUCCESS,19.1,
full,cpu2cuda,1,5908.5,SUCCESS,18.5,
full,cpu2cuda,2,6193.4,SUCCESS,18.4,
full,cpu2cuda,3,6071.1,SUCCESS,18.4,
full,cpu2cuda,4,5997.2,SUCCESS,18.6,
full,cpu2cuda,5,5990.5,SUCCESS,18.2,
full,cpu2cuda,6,6081.0,SUCCESS,18.3,
full,cpu2cuda,7,5989.2,SUCCESS,19.2,
full,cpu2cuda,8,6079.2,SUCCESS,18.3,
full,cpu2cuda,9,6137.6,SUCCESS,18.4,
full,cpu2cuda,10,6084.4,SUCCESS,18.2,
full,cuda2cpu,1,8367.9,SUCCESS,18.0,
full,cuda2cpu,2,8540.9,SUCCESS,17.8,
full,cuda2cpu,3,8496.1,SUCCESS,17.9,
full,cuda2cpu,4,8505.4,SUCCESS,17.7,
full,cuda2cpu,5,8428.1,SUCCESS,17.7,
full,cuda2cpu,6,8574.1,SUCCESS,17.8,
full,cuda2cpu,7,8597.9,SUCCESS,17.8,
full,cuda2cpu,8,8508.6,SUCCESS,17.7,
full,cuda2cpu,9,8544.1,SUCCESS,17.9,
full,cuda2cpu,10,8530.7,SUCCESS,17.9,
pageable,cpu2cpu,1,6954.2,SUCCESS,19.1,
pageable,cpu2cpu,2,7393.2,SUCCESS,19.0,
pageable,cpu2cpu,3,7284.6,SUCCESS,19.1,
pageable,cpu2cpu,4,7592.4,SUCCESS,18.8,
pageable,cpu2cpu,5,7525.7,SUCCESS,18.8,
pageable,cpu2cpu,6,6527.4,SUCCESS,20.1,
pageable,cpu2cpu,7,6990.8,SUCCESS,19.6,
pageable,cpu2cpu,8,7470.7,SUCCESS,19.1,
pageable,cpu2cpu,9,7531.6,SUCCESS,18.8,
pageable,cpu2cpu,10,7549.3,SUCCESS,19.4,
pageable,cpu2cuda,1,4513.9,SUCCESS,19.3,
pageable,cpu2cuda,2,4530.4,SUCCESS,19.2,
pageable,cpu2cuda,3,4387.7,SUCCESS,19.3,
pageable,cpu2cuda,4,4517.6,SUCCESS,19.3,
pageable,cpu2cuda,5,4523.0,SUCCESS,19.1,
pageable,cpu2cuda,6,4284.4,SUCCESS,19.6,
pageable,cpu2cuda,7,4436.0,SUCCESS,19.4,
pageable,cpu2cuda,8,4453.2,SUCCESS,19.2,
pageable,cpu2cuda,9,4524.9,SUCCESS,19.1,
pageable,cpu2cuda,10,4511.7,SUCCESS,19.3,
pageable,cuda2cpu,1,8632.1,SUCCESS,17.6,
pageable,cuda2cpu,2,8612.0,SUCCESS,17.6,
pageable,cuda2cpu,3,8734.6,SUCCESS,17.4,
pageable,cuda2cpu,4,8736.8,SUCCESS,17.5,
pageable,cuda2cpu,5,8666.7,SUCCESS,17.8,
pageable,cuda2cpu,6,8667.7,SUCCESS,17.5,
pageable,cuda2cpu,7,8668.1,SUCCESS,17.8,
pageable,cuda2cpu,8,8655.0,SUCCESS,17.7,
pageable,cuda2cpu,9,8710.5,SUCCESS,17.3,
pageable,cuda2cpu,10,8638.5,SUCCESS,17.8,
nofastpath,cpu2cpu,1,7435.6,SUCCESS,18.7,
nofastpath,cpu2cpu,2,7417.0,SUCCESS,18.7,
nofastpath,cpu2cpu,3,7376.8,SUCCESS,18.8,
nofastpath,cpu2cpu,4,7350.0,SUCCESS,18.8,
nofastpath,cpu2cpu,5,7146.9,SUCCESS,19.2,
nofastpath,cpu2cpu,6,7214.7,SUCCESS,19.1,
nofastpath,cpu2cpu,7,7315.7,SUCCESS,18.9,
nofastpath,cpu2cpu,8,7277.1,SUCCESS,19.0,
nofastpath,cpu2cpu,9,7283.5,SUCCESS,19.0,
nofastpath,cpu2cpu,10,7445.7,SUCCESS,18.6,
nofastpath,cpu2cuda,1,6005.1,SUCCESS,18.4,
nofastpath,cpu2cuda,2,6073.6,SUCCESS,18.3,
nofastpath,cpu2cuda,3,6060.5,SUCCESS,18.3,
nofastpath,cpu2cuda,4,6045.6,SUCCESS,18.3,
nofastpath,cpu2cuda,5,6068.3,SUCCESS,18.3,
nofastpath,cpu2cuda,6,5973.1,SUCCESS,18.5,
nofastpath,cpu2cuda,7,6031.0,SUCCESS,18.3,
nofastpath,cpu2cuda,8,5673.1,SUCCESS,18.9,
nofastpath,cpu2cuda,9,5897.5,SUCCESS,18.6,
nofastpath,cpu2cuda,10,6076.5,SUCCESS,18.4,
nofastpath,cuda2cpu,1,8594.9,SUCCESS,17.7,
nofastpath,cuda2cpu,2,8588.7,SUCCESS,17.5,
nofastpath,cuda2cpu,3,8663.4,SUCCESS,17.8,
nofastpath,cuda2cpu,4,8543.5,SUCCESS,17.7,
nofastpath,cuda2cpu,5,8551.7,SUCCESS,17.8,
nofastpath,cuda2cpu,6,8626.4,SUCCESS,17.4,
nofastpath,cuda2cpu,7,8616.0,SUCCESS,17.5,
nofastpath,cuda2cpu,8,8626.9,SUCCESS,17.6,
nofastpath,cuda2cpu,9,8598.1,SUCCESS,17.8,
nofastpath,cuda2cpu,10,8618.2,SUCCESS,17.5,
noreuse,cpu2cpu,1,1696.1,SUCCESS,26.3,
noreuse,cpu2cpu,2,1685.2,SUCCESS,26.3,
noreuse,cpu2cpu,3,1687.6,SUCCESS,26.4,
noreuse,cpu2cpu,4,1672.0,SUCCESS,26.4,
noreuse,cpu2cpu,5,1675.4,SUCCESS,26.4,
noreuse,cpu2cpu,6,1677.4,SUCCESS,26.5,
noreuse,cpu2cpu,7,1679.0,SUCCESS,26.6,
noreuse,cpu2cpu,8,1664.4,SUCCESS,26.4,
noreuse,cpu2cpu,9,1681.6,SUCCESS,26.5,
noreuse,cpu2cpu,10,1689.7,SUCCESS,26.6,
noreuse,cpu2cuda,1,1294.1,SUCCESS,28.2,
noreuse,cpu2cuda,2,1287.9,SUCCESS,28.9,
noreuse,cpu2cuda,3,1274.8,SUCCESS,28.5,
noreuse,cpu2cuda,4,1289.1,SUCCESS,28.3,
