mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,6847.3,SUCCESS,11.9,
full,cpu2cpu,2,6620.5,SUCCESS,11.7,
full,cpu2cpu,3,7020.1,SUCCESS,11.6,
full,cpu2cpu,4,7236.9,SUCCESS,11.3,
full,cpu2cpu,5,7372.6,SUCCESS,11.3,
full,cpu2cpu,6,7290.7,SUCCESS,11.2,
full,cpu2cpu,7,7312.2,SUCCESS,11.1,
full,cpu2cpu,8,7254.0,SUCCESS,11.2,
full,cpu2cpu,9,7318.5,SUCCESS,11.2,
full,cpu2cpu,10,7278.2,SUCCESS,11.1,
full,cpu2cuda,1,5707.6,SUCCESS,10.7,
full,cpu2cuda,2,5792.5,SUCCESS,10.6,
full,cpu2cuda,3,5810.9,SUCCESS,10.6,
full,cpu2cuda,4,5847.9,SUCCESS,10.6,
full,cpu2cuda,5,5781.7,SUCCESS,10.6,
full,cpu2cuda,6,5878.6,SUCCESS,10.6,
full,cpu2cuda,7,5658.2,SUCCESS,10.7,
full,cpu2cuda,8,5792.7,SUCCESS,10.6,
full,cpu2cuda,9,5795.9,SUCCESS,10.6,
full,cpu2cuda,10,5787.8,SUCCESS,10.6,
full,cuda2cpu,1,8487.7,SUCCESS,10.2,
full,cuda2cpu,2,8461.4,SUCCESS,10.2,
full,cuda2cpu,3,8556.8,SUCCESS,10.5,
full,cuda2cpu,4,8519.1,SUCCESS,10.2,
full,cuda2cpu,5,8491.4,SUCCESS,10.3,
full,cuda2cpu,6,8436.5,SUCCESS,10.2,
full,cuda2cpu,7,8503.3,SUCCESS,10.3,
full,cuda2cpu,8,8378.2,SUCCESS,10.2,
full,cuda2cpu,9,8508.2,SUCCESS,10.1,
full,cuda2cpu,10,8357.3,SUCCESS,10.2,
pageable,cpu2cpu,1,7202.1,SUCCESS,11.1,
pageable,cpu2cpu,2,7174.1,SUCCESS,11.2,
pageable,cpu2cpu,3,7147.0,SUCCESS,11.3,
pageable,cpu2cpu,4,7101.6,SUCCESS,11.2,
pageable,cpu2cpu,5,7121.1,SUCCESS,11.2,
pageable,cpu2cpu,6,7157.2,SUCCESS,11.3,
pageable,cpu2cpu,7,7195.9,SUCCESS,11.3,
pageable,cpu2cpu,8,7170.6,SUCCESS,11.2,
pageable,cpu2cpu,9,7074.3,SUCCESS,11.3,
pageable,cpu2cpu,10,7066.2,SUCCESS,11.3,
pageable,cpu2cuda,1,4200.8,SUCCESS,11.1,
pageable,cpu2cuda,2,4223.5,SUCCESS,11.2,
pageable,cpu2cuda,3,4249.0,SUCCESS,11.1,
pageable,cpu2cuda,4,4224.2,SUCCESS,11.1,
pageable,cpu2cuda,5,4253.5,SUCCESS,11.1,
pageable,cpu2cuda,6,4183.2,SUCCESS,11.1,
pageable,cpu2cuda,7,4225.4,SUCCESS,11.1,
pageable,cpu2cuda,8,4202.5,SUCCESS,11.1,
pageable,cpu2cuda,9,4148.8,SUCCESS,11.2,
pageable,cpu2cuda,10,4221.7,SUCCESS,11.1,
pageable,cuda2cpu,1,8288.5,SUCCESS,10.2,
pageable,cuda2cpu,2,8335.7,SUCCESS,10.3,
pageable,cuda2cpu,3,8263.7,SUCCESS,10.2,
pageable,cuda2cpu,4,8315.1,SUCCESS,10.2,
pageable,cuda2cpu,5,8290.7,SUCCESS,10.2,
pageable,cuda2cpu,6,8355.3,SUCCESS,10.3,
pageable,cuda2cpu,7,8206.9,SUCCESS,10.2,
pageable,cuda2cpu,8,8316.1,SUCCESS,10.3,
pageable,cuda2cpu,9,8330.6,SUCCESS,10.5,
pageable,cuda2cpu,10,8272.7,SUCCESS,10.2,
nofastpath,cpu2cpu,1,6661.4,SUCCESS,11.2,
nofastpath,cpu2cpu,2,6751.7,SUCCESS,11.4,
nofastpath,cpu2cpu,3,6776.3,SUCCESS,11.7,
nofastpath,cpu2cpu,4,6810.8,SUCCESS,11.4,
nofastpath,cpu2cpu,5,6763.5,SUCCESS,11.4,
nofastpath,cpu2cpu,6,6749.0,SUCCESS,11.3,
nofastpath,cpu2cpu,7,6626.0,SUCCESS,11.3,
nofastpath,cpu2cpu,8,6651.1,SUCCESS,11.3,
nofastpath,cpu2cpu,9,6737.2,SUCCESS,11.3,
nofastpath,cpu2cpu,10,6734.0,SUCCESS,11.3,
nofastpath,cpu2cuda,1,5444.2,SUCCESS,10.6,
nofastpath,cpu2cuda,2,5421.4,SUCCESS,10.7,
nofastpath,cpu2cuda,3,5460.4,SUCCESS,10.8,
nofastpath,cpu2cuda,4,5474.6,SUCCESS,10.8,
nofastpath,cpu2cuda,5,5557.6,SUCCESS,10.7,
nofastpath,cpu2cuda,6,5555.9,SUCCESS,10.7,
nofastpath,cpu2cuda,7,5590.0,SUCCESS,10.8,
nofastpath,cpu2cuda,8,5502.3,SUCCESS,10.7,
nofastpath,cpu2cuda,9,5429.3,SUCCESS,10.7,
nofastpath,cpu2cuda,10,5422.0,SUCCESS,10.8,
nofastpath,cuda2cpu,1,7842.3,SUCCESS,10.4,
nofastpath,cuda2cpu,2,7828.9,SUCCESS,10.4,
nofastpath,cuda2cpu,3,7914.6,SUCCESS,10.4,
nofastpath,cuda2cpu,4,7836.8,SUCCESS,10.3,
nofastpath,cuda2cpu,5,7838.6,SUCCESS,10.4,
nofastpath,cuda2cpu,6,7766.9,SUCCESS,10.4,
nofastpath,cuda2cpu,7,7846.3,SUCCESS,10.3,
nofastpath,cuda2cpu,8,7746.7,SUCCESS,10.3,
nofastpath,cuda2cpu,9,7802.7,SUCCESS,10.5,
