mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,7105.9,SUCCESS,9.6,
full,cpu2cpu,2,7000.7,SUCCESS,9.3,
full,cpu2cuda,1,5580.2,SUCCESS,8.6,
full,cpu2cuda,2,5663.6,SUCCESS,8.6,
full,cuda2cpu,1,8156.0,SUCCESS,8.4,
full,cuda2cpu,2,8202.9,SUCCESS,8.3,
pageable,cpu2cpu,1,7093.7,SUCCESS,9.2,
pageable,cpu2cpu,2,7277.3,SUCCESS,9.2,
pageable,cpu2cuda,1,4094.4,SUCCESS,9.0,
pageable,cpu2cuda,2,4132.6,SUCCESS,8.9,
pageable,cuda2cpu,1,8111.9,SUCCESS,8.4,
pageable,cuda2cpu,2,8215.8,SUCCESS,8.3,
nofastpath,cpu2cpu,1,6875.7,SUCCESS,9.3,
nofastpath,cpu2cpu,2,6912.3,SUCCESS,9.2,
nofastpath,cpu2cuda,1,5016.0,SUCCESS,9.1,
nofastpath,cpu2cuda,2,5015.2,SUCCESS,8.9,
nofastpath,cuda2cpu,1,7752.4,SUCCESS,8.7,
nofastpath,cuda2cpu,2,7065.6,SUCCESS,9.2,
noreuse,cpu2cpu,1,1557.7,SUCCESS,13.1,
noreuse,cpu2cpu,2,1753.7,SUCCESS,12.3,
noreuse,cpu2cuda,1,1249.5,SUCCESS,12.8,
noreuse,cpu2cuda,2,1268.9,SUCCESS,12.6,
noreuse,cuda2cpu,1,1909.9,SUCCESS,11.1,
noreuse,cuda2cpu,2,1919.3,SUCCESS,11.1,
