mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,7131.7,SUCCESS,5.5,
full,cpu2cpu,2,6653.8,SUCCESS,5.5,
full,cpu2cpu,3,7211.7,SUCCESS,5.7,
full,cpu2cpu,4,6879.9,SUCCESS,5.8,
full,cpu2cpu,5,7499.1,SUCCESS,5.8,
full,cpu2cpu,6,7037.1,SUCCESS,5.9,
full,cpu2cpu,7,6782.3,SUCCESS,5.5,
full,cpu2cpu,8,7228.6,SUCCESS,5.9,
full,cpu2cpu,9,7246.3,SUCCESS,5.6,
full,cpu2cpu,10,7306.5,SUCCESS,5.5,
full,cpu2cuda,1,4395.4,SUCCESS,5.1,
full,cpu2cuda,2,4210.4,SUCCESS,5.3,
full,cpu2cuda,3,4269.7,SUCCESS,5.2,
full,cpu2cuda,4,4198.4,SUCCESS,5.1,
full,cpu2cuda,5,4215.0,SUCCESS,5.2,
full,cpu2cuda,6,4299.6,SUCCESS,5.1,
full,cpu2cuda,7,4301.2,SUCCESS,5.2,
full,cpu2cuda,8,4559.9,SUCCESS,5.1,
full,cpu2cuda,9,4224.7,SUCCESS,5.0,
full,cpu2cuda,10,4347.8,SUCCESS,5.1,
full,cuda2cpu,1,7633.5,SUCCESS,4.6,
full,cuda2cpu,2,7918.0,SUCCESS,4.6,
full,cuda2cpu,3,7936.9,SUCCESS,4.6,
full,cuda2cpu,4,7872.7,SUCCESS,4.6,
full,cuda2cpu,5,7683.7,SUCCESS,4.6,
full,cuda2cpu,6,7537.1,SUCCESS,4.6,
full,cuda2cpu,7,7603.2,SUCCESS,4.6,
full,cuda2cpu,8,7785.8,SUCCESS,4.6,
full,cuda2cpu,9,7744.2,SUCCESS,4.6,
full,cuda2cpu,10,7863.0,SUCCESS,4.6,
pageable,cpu2cpu,1,7287.7,SUCCESS,5.4,
pageable,cpu2cpu,2,7377.4,SUCCESS,5.8,
pageable,cpu2cpu,3,7016.6,SUCCESS,5.8,
pageable,cpu2cpu,4,7297.9,SUCCESS,5.9,
pageable,cpu2cpu,5,7211.6,SUCCESS,5.9,
pageable,cpu2cpu,6,7195.6,SUCCESS,5.9,
pageable,cpu2cpu,7,7143.8,SUCCESS,5.9,
pageable,cpu2cpu,8,7010.0,SUCCESS,5.5,
pageable,cpu2cpu,9,7088.7,SUCCESS,5.9,
pageable,cpu2cpu,10,7083.7,SUCCESS,5.5,
