mode,scenario,success,failed,median_mbs,min_mbs,max_mbs,stddev_mbs
full,cpu2cpu,10,0,7014.6,6146.2,7158.4,359.8
full,cpu2cuda,10,0,5082.4,4768.8,5144.4,137.4
full,cuda2cpu,10,0,7987.2,6955.4,8241.3,365.8
nofastpath,cpu2cpu,10,0,6666.6,5732.9,7050.8,481.1
nofastpath,cpu2cuda,10,0,4946.0,4804.7,5093.9,98.6
nofastpath,cuda2cpu,10,0,8040.0,7982.1,8209.0,77.1
noreuse,cpu2cpu,10,0,1820.4,1789.9,1843.9,15.5
noreuse,cpu2cuda,10,0,1315.9,1295.9,1336.8,13.1
noreuse,cuda2cpu,10,0,1993.5,1956.6,2021.4,19.0
pageable,cpu2cpu,10,0,7010.8,6534.8,7215.7,205.6
pageable,cpu2cuda,10,0,4124.2,3728.5,4304.7,178.5
pageable,cuda2cpu,10,0,7999.1,6753.3,8189.3,469.1
