mode,scenario,run,throughput_mbs,status,duration_s,notes
full,cpu2cpu,1,7319.8,SUCCESS,6.2,
full,cpu2cpu,2,7000.6,SUCCESS,5.8,
full,cpu2cpu,3,6765.1,SUCCESS,5.9,
full,cpu2cpu,4,6407.4,SUCCESS,5.9,
full,cpu2cpu,5,7174.8,SUCCESS,6.2,
full,cpu2cpu,6,7197.2,SUCCESS,6.2,
full,cpu2cpu,7,7099.7,SUCCESS,6.1,
full,cpu2cpu,8,6844.1,SUCCESS,6.2,
full,cpu2cpu,9,7102.2,SUCCESS,6.4,
full,cpu2cpu,10,7028.8,SUCCESS,6.3,
full,cpu2cuda,1,4258.1,SUCCESS,5.6,
full,cpu2cuda,2,4469.0,SUCCESS,5.3,
full,cpu2cuda,3,4414.4,SUCCESS,5.6,
full,cpu2cuda,4,4521.7,SUCCESS,5.3,
full,cpu2cuda,5,4589.3,SUCCESS,5.5,
full,cpu2cuda,6,4587.4,SUCCESS,5.3,
full,cpu2cuda,7,4831.0,SUCCESS,5.5,
full,cpu2cuda,8,4605.7,SUCCESS,5.5,
full,cpu2cuda,9,4788.1,SUCCESS,5.5,
full,cpu2cuda,10,4538.2,SUCCESS,5.5,
full,cuda2cpu,1,8055.6,SUCCESS,4.9,
full,cuda2cpu,2,7981.3,SUCCESS,4.9,
full,cuda2cpu,3,7983.1,SUCCESS,4.9,
full,cuda2cpu,4,7874.2,SUCCESS,4.9,
full,cuda2cpu,5,7877.5,SUCCESS,4.9,
full,cuda2cpu,6,7922.0,SUCCESS,4.9,
full,cuda2cpu,7,7895.1,SUCCESS,5.1,
full,cuda2cpu,8,7899.9,SUCCESS,4.9,
full,cuda2cpu,9,7974.1,SUCCESS,4.9,
full,cuda2cpu,10,7887.1,SUCCESS,4.9,
pageable,cpu2cpu,1,7107.5,SUCCESS,6.1,
pageable,cpu2cpu,2,7041.9,SUCCESS,6.3,
pageable,cpu2cpu,3,7107.8,SUCCESS,6.1,
pageable,cpu2cpu,4,7260.2,SUCCESS,6.2,
pageable,cpu2cpu,5,6921.0,SUCCESS,6.2,
pageable,cpu2cpu,6,7369.7,SUCCESS,6.2,
pageable,cpu2cpu,7,7206.0,SUCCESS,6.4,
pageable,cpu2cpu,8,7084.2,SUCCESS,6.2,
pageable,cpu2cpu,9,7180.3,SUCCESS,5.8,
pageable,cpu2cpu,10,6877.2,SUCCESS,6.0,
pageable,cpu2cuda,1,4111.2,SUCCESS,5.5,
pageable,cpu2cuda,2,4045.1,SUCCESS,5.7,
pageable,cpu2cuda,3,4185.4,SUCCESS,5.6,
pageable,cpu2cuda,4,3959.7,SUCCESS,5.6,
pageable,cpu2cuda,5,3993.5,SUCCESS,5.2,
pageable,cpu2cuda,6,4117.9,SUCCESS,5.6,
pageable,cpu2cuda,7,4078.3,SUCCESS,5.5,
pageable,cpu2cuda,8,4086.5,SUCCESS,5.3,
pageable,cpu2cuda,9,4047.8,SUCCESS,5.2,
pageable,cpu2cuda,10,3937.5,SUCCESS,5.2,
pageable,cuda2cpu,1,7941.1,SUCCESS,4.9,
pageable,cuda2cpu,2,7842.2,SUCCESS,5.0,
pageable,cuda2cpu,3,7887.1,SUCCESS,4.9,
pageable,cuda2cpu,4,7777.8,SUCCESS,5.0,
pageable,cuda2cpu,5,7979.0,SUCCESS,4.9,
pageable,cuda2cpu,6,7470.9,SUCCESS,5.0,
pageable,cuda2cpu,7,7679.6,SUCCESS,5.0,
pageable,cuda2cpu,8,7743.9,SUCCESS,5.0,
pageable,cuda2cpu,9,7861.6,SUCCESS,4.9,
pageable,cuda2cpu,10,7663.6,SUCCESS,5.0,
nofastpath,cpu2cpu,1,6774.1,SUCCESS,5.8,
nofastpath,cpu2cpu,2,6750.5,SUCCESS,5.8,
nofastpath,cpu2cpu,3,6924.7,SUCCESS,6.2,
nofastpath,cpu2cpu,4,6796.7,SUCCESS,5.8,
nofastpath,cpu2cpu,5,6827.5,SUCCESS,6.1,
nofastpath,cpu2cpu,6,7010.8,SUCCESS,6.2,
nofastpath,cpu2cpu,7,6792.7,SUCCESS,6.1,
nofastpath,cpu2cpu,8,6901.1,SUCCESS,6.1,
nofastpath,cpu2cpu,9,6759.4,SUCCESS,6.3,
nofastpath,cpu2cpu,10,6443.1,SUCCESS,6.2,
nofastpath,cpu2cuda,1,4099.6,SUCCESS,5.4,
nofastpath,cpu2cuda,2,4056.4,SUCCESS,5.6,
nofastpath,cpu2cuda,3,4325.9,SUCCESS,5.6,
nofastpath,cpu2cuda,4,4522.7,SUCCESS,5.5,
nofastpath,cpu2cuda,5,4116.1,SUCCESS,5.6,
nofastpath,cpu2cuda,6,4347.7,SUCCESS,5.6,
nofastpath,cpu2cuda,7,4078.5,SUCCESS,5.4,
nofastpath,cpu2cuda,8,4192.1,SUCCESS,5.6,
nofastpath,cpu2cuda,9,4196.3,SUCCESS,5.6,
nofastpath,cpu2cuda,10,4311.6,SUCCESS,5.4,
nofastpath,cuda2cpu,1,7528.8,SUCCESS,4.9,
nofastpath,cuda2cpu,2,7418.6,SUCCESS,5.0,
nofastpath,cuda2cpu,3,7258.6,SUCCESS,5.0,
nofastpath,cuda2cpu,4,7586.4,SUCCESS,4.9,
nofastpath,cuda2cpu,5,7675.6,SUCCESS,4.9,
nofastpath,cuda2cpu,6,7604.6,SUCCESS,5.0,
nofastpath,cuda2cpu,7,7638.6,SUCCESS,4.9,
nofastpath,cuda2cpu,8,7451.9,SUCCESS,5.0,
nofastpath,cuda2cpu,9,7781.6,SUCCESS,4.9,
nofastpath,cuda2cpu,10,7567.5,SUCCESS,5.0,
noreuse,cpu2cpu,1,1625.2,SUCCESS,7.4,
noreuse,cpu2cpu,2,1649.9,SUCCESS,8.1,
noreuse,cpu2cpu,3,1606.5,SUCCESS,7.6,
noreuse,cpu2cpu,4,1669.5,SUCCESS,7.8,
noreuse,cpu2cpu,5,1693.5,SUCCESS,7.3,
noreuse,cpu2cpu,6,1631.1,SUCCESS,7.4,
noreuse,cpu2cpu,7,1601.0,SUCCESS,7.7,
noreuse,cpu2cpu,8,1685.4,SUCCESS,7.2,
noreuse,cpu2cpu,9,1635.1,SUCCESS,7.3,
noreuse,cpu2cpu,10,1628.6,SUCCESS,7.3,
noreuse,cpu2cuda,1,1236.5,SUCCESS,7.0,
noreuse,cpu2cuda,2,1197.6,SUCCESS,7.4,
noreuse,cpu2cuda,3,1198.8,SUCCESS,7.2,
noreuse,cpu2cuda,4,1250.3,SUCCESS,7.1,
noreuse,cpu2cuda,5,1231.4,SUCCESS,7.2,
noreuse,cpu2cuda,6,1229.7,SUCCESS,7.1,
noreuse,cpu2cuda,7,1210.5,SUCCESS,7.2,
noreuse,cpu2cuda,8,1214.2,SUCCESS,7.2,
noreuse,cpu2cuda,9,1239.5,SUCCESS,7.1,
noreuse,cpu2cuda,10,1114.8,SUCCESS,7.5,
noreuse,cuda2cpu,1,1856.1,SUCCESS,6.5,
noreuse,cuda2cpu,2,1902.8,SUCCESS,6.2,
noreuse,cuda2cpu,3,1893.4,SUCCESS,6.2,
noreuse,cuda2cpu,4,1917.5,SUCCESS,6.3,
noreuse,cuda2cpu,5,1904.7,SUCCESS,6.2,
noreuse,cuda2cpu,6,1897.1,SUCCESS,6.1,
noreuse,cuda2cpu,7,1882.4,SUCCESS,6.2,
noreuse,cuda2cpu,8,1911.6,SUCCESS,6.2,
noreuse,cuda2cpu,9,1929.6,SUCCESS,6.2,
noreuse,cuda2cpu,10,1910.5,SUCCESS,6.2,
