size,mode,scenario,success,failed,median_mbs,min_mbs,max_mbs,stddev_mbs
40MB,nofastpath,cpu2cuda,20,0,4968.8,4212.6,5538.9,404.5
40MB,nofastpath,cuda2cpu,20,0,8129.3,6353.5,8380.6,605.1
40MB,noreuse,cpu2cpu,20,0,1610.1,1453.3,1694.5,69.8
40MB,noreuse,cpu2cuda,20,0,1194.1,1015.1,1280.5,91.9
40MB,noreuse,cuda2cpu,20,0,1754.4,1705.0,1803.3,29.0
40MB,pageable,cpu2cuda,20,0,4250.4,3680.5,4403.3,183.5
40MB,pinned,cpu2cuda,20,0,5130.8,4546.4,5661.8,313.1
512KB,auto,cpu2cpu,20,0,5933.9,4036.2,7465.2,1194.5
512KB,auto,cpu2cuda,20,0,2782.8,2018.0,3297.7,330.6
512KB,auto,cuda2cpu,20,0,3419.8,2963.2,4145.3,415.2
512KB,nofastpath,cpu2cpu,20,0,3971.2,2668.1,6476.2,1019.8
512KB,nofastpath,cpu2cuda,20,0,2365.3,1857.0,3126.3,489.5
512KB,nofastpath,cuda2cpu,20,0,2957.9,2109.0,3752.8,565.6
512KB,noreuse,cpu2cpu,20,0,997.7,522.9,1291.0,257.9
512KB,noreuse,cpu2cuda,20,0,564.6,434.2,762.4,125.2
512KB,noreuse,cuda2cpu,20,0,877.8,607.9,1162.3,214.2
512KB,pageable,cpu2cuda,20,0,2867.9,2478.2,3276.5,281.6
512KB,pinned,cpu2cuda,20,0,1315.4,1051.4,1680.8,217.2
80MB,auto,cpu2cpu,20,0,7438.4,7267.5,7605.2,98.4
80MB,auto,cpu2cuda,20,0,5568.7,5032.2,6483.9,408.6
80MB,auto,cuda2cpu,20,0,8561.1,7931.8,8735.5,194.4
80MB,nofastpath,cpu2cpu,20,0,7316.2,6687.3,7515.6,178.4
80MB,nofastpath,cpu2cuda,20,0,5821.1,5046.9,6548.0,509.2
80MB,nofastpath,cuda2cpu,20,0,8378.0,8133.9,8686.7,165.6
80MB,noreuse,cpu2cpu,20,0,1689.2,1635.9,1730.3,28.8
80MB,noreuse,cpu2cuda,20,0,1297.7,1238.7,1348.1,37.3
80MB,noreuse,cuda2cpu,20,0,1801.7,1705.0,1830.4,31.0
80MB,pageable,cpu2cuda,20,0,4424.1,4165.6,4505.5,98.2
80MB,pinned,cpu2cuda,20,0,6041.8,5199.1,6547.6,552.5
