mode,scenario,run,throughput_mbs,status,duration_s,notes
auto,cpu2cpu,1,7225.2,SUCCESS,11.2,
auto,cpu2cpu,2,7223.4,SUCCESS,11.3,
auto,cpu2cpu,3,7223.4,SUCCESS,11.2,
auto,cpu2cpu,4,7159.4,SUCCESS,11.3,
auto,cpu2cpu,5,7202.0,SUCCESS,11.7,
auto,cpu2cpu,6,7165.5,SUCCESS,11.4,
auto,cpu2cpu,7,7197.8,SUCCESS,11.4,
auto,cpu2cpu,8,7124.2,SUCCESS,11.7,
auto,cpu2cpu,9,7248.5,SUCCESS,11.3,
auto,cpu2cpu,10,7114.6,SUCCESS,11.3,
auto,cpu2cuda,1,6111.4,SUCCESS,10.6,
auto,cpu2cuda,2,5835.1,SUCCESS,10.8,
auto,cpu2cuda,3,6092.7,SUCCESS,10.6,
auto,cpu2cuda,4,5956.8,SUCCESS,10.7,
auto,cpu2cuda,5,6059.0,SUCCESS,10.7,
auto,cpu2cuda,6,6099.8,SUCCESS,10.6,
auto,cpu2cuda,7,5986.0,SUCCESS,10.7,
auto,cpu2cuda,8,5926.7,SUCCESS,10.7,
auto,cpu2cuda,9,5855.2,SUCCESS,10.7,
auto,cpu2cuda,10,5970.4,SUCCESS,10.8,
auto,cuda2cpu,1,8346.0,SUCCESS,10.4,
auto,cuda2cpu,2,8399.7,SUCCESS,10.4,
auto,cuda2cpu,3,8383.8,SUCCESS,10.3,
auto,cuda2cpu,4,8318.7,SUCCESS,10.4,
auto,cuda2cpu,5,8310.8,SUCCESS,10.3,
auto,cuda2cpu,6,8187.8,SUCCESS,10.7,
auto,cuda2cpu,7,8224.6,SUCCESS,10.8,
auto,cuda2cpu,8,8222.0,SUCCESS,10.4,
auto,cuda2cpu,9,8350.5,SUCCESS,10.3,
auto,cuda2cpu,10,8343.6,SUCCESS,10.4,
nofastpath,cpu2cpu,1,6849.6,SUCCESS,11.4,
nofastpath,cpu2cpu,2,6795.9,SUCCESS,11.3,
nofastpath,cpu2cpu,3,6767.3,SUCCESS,11.4,
nofastpath,cpu2cpu,4,6736.5,SUCCESS,11.5,
nofastpath,cpu2cpu,5,6805.2,SUCCESS,11.6,
nofastpath,cpu2cpu,6,6783.9,SUCCESS,11.4,
nofastpath,cpu2cpu,7,6742.9,SUCCESS,11.4,
nofastpath,cpu2cpu,8,6744.0,SUCCESS,11.5,
nofastpath,cpu2cpu,9,6546.9,SUCCESS,11.6,
nofastpath,cpu2cpu,10,6708.7,SUCCESS,11.4,
nofastpath,cpu2cuda,1,4880.4,SUCCESS,11.6,
nofastpath,cpu2cuda,2,5467.3,SUCCESS,11.4,
nofastpath,cpu2cuda,3,5691.2,SUCCESS,11.1,
nofastpath,cpu2cuda,4,5792.2,SUCCESS,11.2,
nofastpath,cpu2cuda,5,5893.8,SUCCESS,10.8,
nofastpath,cpu2cuda,6,5871.3,SUCCESS,10.7,
nofastpath,cpu2cuda,7,5913.0,SUCCESS,10.7,
nofastpath,cpu2cuda,8,5832.1,SUCCESS,10.7,
nofastpath,cpu2cuda,9,5787.3,SUCCESS,10.8,
nofastpath,cpu2cuda,10,5703.2,SUCCESS,10.8,
nofastpath,cuda2cpu,1,8276.4,SUCCESS,10.4,
nofastpath,cuda2cpu,2,8364.0,SUCCESS,10.4,
nofastpath,cuda2cpu,3,8322.7,SUCCESS,10.4,
nofastpath,cuda2cpu,4,8280.4,SUCCESS,10.8,
nofastpath,cuda2cpu,5,8440.3,SUCCESS,10.4,
nofastpath,cuda2cpu,6,8165.1,SUCCESS,10.4,
nofastpath,cuda2cpu,7,8276.7,SUCCESS,10.2,
nofastpath,cuda2cpu,8,8357.3,SUCCESS,10.3,
nofastpath,cuda2cpu,9,8329.9,SUCCESS,10.3,
nofastpath,cuda2cpu,10,8286.4,SUCCESS,10.3,
